№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
3176,5,6,9,6,5,8,7,8,9,"в целом всё нормально, замечу консультации доступны по расписанию…, в итоге (822)",ru,medium,neutral
3177,6,8,10,8,9,7,8,8,6,"уведомления приходят оперативно, логистика понятная, в целом кесте тұрақты, хабарлау айқын!",mixed,medium,positive
3178,5,6,6,5,7,4,6,8,7,"рабочая учебная рутина, замечу примеры привязаны к реальным процессам., в целом (688)",ru,medium,neutral
3179,6,8,9,8,9,6,6,8,9,"расписание стабильное, обратная связь ясная, при этом проекты и задачи помогают закреплять!",ru,medium,positive
3180,6,5,4,4,5,4,5,5,4,"без серьёзных замечаний., замечу (745)",ru,short,neutral
3181,8,7,7,9,10,9,8,9,9,"презентации и примеры даются оперативно., вдобавок (464)",ru,short,positive
3182,10,8,9,7,10,8,9,10,9,"объясняют структурно, делятся опытом и лайфхаками, кстати консультации доступны по расписанию!",ru,medium,positive
3183,10,8,10,10,10,7,9,10,10,учиться комфортно впечатления положительные в целом!,mixed,short,positive
3184,10,7,8,9,10,10,10,10,10,"тәжірибесімен бөліседі, кеңес береді. бағдарлама актуалды көрінеді, кейде кеңес алу оңай, жалпы алғанда мысалдар нақты жағдайлардан.",kz,long,positive
3185,4,3,5,5,5,4,5,5,6,"жалпы қалыпты, айтпақшы рабочая учебная рутина, айтпақшы түсінікті/понятно талқылаймыз, жақсы болар еді практика/жабдықтар бойынша күшейту…",mixed,long,neutral
3186,7,9,10,10,9,7,8,9,9,"расписание стабильное, информирование ясная. процессы выстроены, вопросов почти нет, хотелось бы усилить практику и разбор кейсов.",ru,long,positive
3187,7,6,5,7,7,5,7,6,7,"материалы размещают в срок, иногда с задержками., замечу (285)",ru,medium,neutral
3188,9,10,10,10,10,9,9,10,10,"объясняют логично, делятся опытом и лайфхаками, кстати проекты и задачи помогают закреплять!",ru,medium,positive
3189,7,10,9,8,8,7,9,8,7,"лабораторные по делу, инструкции логично изложены, было бы полезно усилить практику и разбор кейсов!",ru,medium,positive
3190,6,5,9,6,6,6,7,5,7,"жалпы қалыпты. жалпы қалыпты, айта кетсек мысалдар нақты жағдайлардан, қоса жобалар пайдалы, сонымен қатар жобалар пайдалы",kz,long,neutral
3191,3,2,1,1,1,1,2,3,2,"дефицит практики и разбора задач, хотелось бы усилить практику и разбор кейсов…",ru,medium,negative
3192,10,10,9,10,10,9,9,10,10,"тәжірибесімен бөліседі, кеңес береді, сонымен қатар кеңес алу оңай.",kz,medium,positive
3193,9,10,9,10,10,8,10,9,10,"хабарламалар уақытында, логистика түсінікті, кейде расписание стабильное, информирование ясная, қарастырған жөн практика/жабдықтар бойынша күшейту.",mixed,long,positive
3194,10,9,10,10,10,8,10,10,10,"объясняют понятно, делятся опытом и лайфхаками, стоит подумать усилить практику и разбор кейсов!",ru,medium,positive
3195,6,7,7,4,6,5,5,5,4,"кестеде өзгерістер болып тұрады, айта кетсек мысалдар нақты жағдайлардан",kz,medium,neutral
3196,8,9,10,9,9,10,9,10,9,"чувствуется опыт и вовлеченность преподавателей!, замечу (752)",ru,short,positive
3197,9,10,9,10,10,10,10,10,9,"зертханалар таза, құралдар жұмыс істейді. зертханалар таза, құралдар жұмыс істейді, соңында кеңес алу оңай, кейде жобалар пайдалы!",kz,long,positive
3198,7,5,5,5,4,6,6,6,7,"материалы размещают в срок, иногда с задержками. в целом всё нормально, имеет смысл усилить практику и разбор кейсов.",ru,long,neutral
3199,10,10,9,10,10,8,10,10,10,хабарламалар дер кезінде логистика түсінікті жалпы.,kz,short,positive
3200,9,9,10,9,9,10,8,8,9,уведомления приходят вовремя логистика понятная кейде!,mixed,short,positive
3201,9,9,9,9,8,10,9,10,10,"расписание стабильное, коммуникация ясная, в итоге консультации доступны по расписанию.",ru,medium,positive
3202,6,7,8,8,7,8,8,8,10,"кеңестер уақтылы, қолдау бар, при этом чувствуется опыт и вовлеченность преподавателей!",mixed,medium,positive
3203,4,5,4,6,3,8,4,6,4,"рабочая учебная рутина, было бы полезно усилить практику и разбор кейсов…, замечу (866)",ru,medium,neutral
3204,9,8,9,7,7,8,9,10,8,"методички структурированы, поиск по темам простой, при этом материалдар ретке келтірілген, электронды қолжетімділік ыңғайлы, кейде түсінікті/понятно талқылаймыз.",mixed,long,positive
3205,9,9,8,10,10,10,9,10,9,"техника настроена, лабораторная техника доступны., замечу (259)",ru,short,positive
3206,8,9,5,6,6,7,8,8,8,"обратная связь в целом нормальная, вообще (987)",ru,short,neutral
3207,10,9,8,10,9,9,8,8,9,"объясняют ясно, делятся опытом и лайфхаками, хотелось бы усилить практику и разбор кейсов.",ru,medium,positive
3208,8,9,9,7,6,8,7,9,10,"лабораторные по делу, инструкции ясно изложены, замечу консультации доступны по расписанию.",ru,medium,positive
3209,4,5,4,4,5,7,4,6,6,презентации и теорию выдают регулярно қоса.,mixed,short,neutral
3210,6,4,6,8,7,4,6,8,8,"жалпы қалыпты, айтпақшы кеңес алу оңай, айта кетсек кеңес алу оңай…",kz,medium,neutral
3211,5,5,5,6,4,5,4,6,5,"ерекше ескертулер жоқ, кейде (455)",kz,short,neutral
3212,3,6,4,6,5,4,3,6,7,"ерекше ескертулер жоқ., айта кетсек (723)",kz,short,neutral
3213,8,8,10,10,10,10,10,7,10,"на практике даются кейсы, контекст рынка ощущается. в целом курс мотивирует и втягивает, в итоге консультации доступны по расписанию.",ru,long,positive
3214,9,7,9,8,9,7,8,8,10,"формат практики удобный, задачи разобраны логично. программа выглядит под текущие требования, при этом примеры привязаны к реальным процессам.",ru,long,positive
3215,8,8,8,7,5,8,9,9,8,"бағдарлама актуалды көрінеді, жақсы болар еді практиканы және мысалдарды күшейту!",kz,medium,positive
3216,6,8,7,9,7,6,6,8,5,"информирование в целом нормальная, қоса сұрақтар жұмыс тәртібімен шешіледі, қарастырған жөн практика/жабдықтар бойынша күшейту",mixed,long,neutral
3217,6,7,7,4,6,5,5,5,8,"оқытушылардың тәсілдері әртүрлі, жалпы айқын. жалпы қалыпты, қалағаным практиканы және мысалдарды күшейту, жалпы алғанда кеңес алу оңай",kz,long,neutral
3218,9,7,8,8,9,8,8,8,6,"объясняют ясно, делятся опытом и лайфхаками, по факту консультации доступны по расписанию!",ru,medium,positive
3219,7,6,6,6,6,5,7,9,5,"ерекше ескертулер жоқ, кейде жобалар пайдалы, кейде кеңес алу оңай…",kz,medium,neutral
3220,9,8,8,8,7,7,8,7,8,"оқытушылар жедел жауап береді, түсіндіру айқын. тәжірибесімен бөліседі, кеңес береді, қарастырған жөн практиканы және мысалдарды күшейту!",kz,long,positive
3221,10,10,10,7,10,10,10,9,10,"материалдар ретке келтірілген, электронды қолжетімділік ыңғайлы. оқу жайлы, әсері жақсы, жалпы алғанда жобалар пайдалы, соңында мысалдар нақты жағдайлардан!",kz,long,positive
3222,6,3,6,5,5,4,5,4,3,"ерекше ескертулер жоқ, соңында жобалар пайдалы, қоса кеңес алу оңай.",kz,medium,neutral
3223,10,10,10,9,9,10,9,10,10,"уведомления приходят вовремя, логистика понятная. учиться комфортно, впечатления положительные, хотелось бы усилить практику и разбор кейсов.",ru,long,positive
3224,7,6,6,7,5,5,6,5,6,"жалпы қалыпты, қоса жобалар пайдалы, қалағаным практиканы және мысалдарды күшейту.",kz,medium,neutral
3225,9,8,7,10,10,8,9,8,7,"стажировки и проекты помогают закреплять темы, кстати примеры привязаны к реальным процессам.",ru,medium,positive
3226,9,10,10,8,9,10,8,9,9,"на практике даются примеры, прикладной фокус ощущается. программа выглядит актуально, по факту консультации доступны по расписанию!",ru,long,positive
3227,10,10,7,9,7,8,9,9,9,"тәжірибесімен бөліседі, кеңес береді, жақсы болар еді практиканы және мысалдарды күшейту!",kz,medium,positive
3228,2,3,4,4,4,3,5,5,5,"презентации и теорию выдают регулярно…, вообще (665)",ru,short,neutral
3229,9,5,6,6,9,8,6,7,6,"рабочая учебная рутина. в целом всё нормально, кстати проекты и задачи помогают закреплять, как правило консультации доступны по расписанию…",ru,long,neutral
3230,6,6,7,4,7,4,7,7,6,"информирование в целом нормальная, по факту проекты и задачи помогают закреплять.",ru,medium,neutral
3231,10,10,9,9,9,10,10,10,8,"преподаватели отзывчивые, отвечают вовремя, при этом консультации доступны по расписанию!",ru,medium,positive
3232,9,10,10,9,10,9,10,9,10,"зертханалар таза, құралдар жұмыс істейді, соңында кеңес алу оңай.",kz,medium,positive
3233,8,9,8,10,9,8,9,8,8,"процессы выстроены, вопросов почти нет, в итоге примеры привязаны к реальным процессам!",ru,medium,positive
3234,6,8,6,5,7,7,6,6,6,"сообщения в целом нормальная, вдобавок консультации доступны по расписанию",ru,medium,neutral
3235,10,6,7,7,7,8,7,9,8,"уведомления приходят без задержек, логистика понятная, как правило примеры привязаны к реальным процессам.",ru,medium,positive
3236,9,10,9,9,9,9,10,10,10,"презентациялар мен мысалдар уақытында беріледі, айта кетсек кеңес алу оңай.",kz,medium,positive
3237,6,6,5,7,6,6,7,6,5,"вопросы решаются рабочим порядком, в целом консультации доступны по расписанию",ru,medium,neutral
3238,2,1,3,2,3,3,3,1,1,"переносы сообщаются поздно, замечу проекты и задачи помогают закреплять.",ru,medium,negative
3239,5,5,4,6,6,3,6,4,6,"без серьёзных замечаний, при этом проекты и задачи помогают закреплять, вдобавок (949)",ru,medium,neutral
3240,4,5,5,4,8,6,5,5,3,"вопросы решаются рабочим порядком. вопросы решаются рабочим порядком, при этом проекты и задачи помогают закреплять",ru,long,neutral
3241,4,6,2,4,5,5,5,4,4,"жалпы қалыпты, в целом без серьёзных замечаний",mixed,medium,neutral
3242,9,9,9,10,7,10,9,8,10,"материалдар ретке келтірілген, электронды қолжетімділік ыңғайлы, күшейтсе жақсы практиканы және мысалдарды күшейту.",kz,medium,positive
3243,4,4,3,4,3,6,3,2,4,"ответы на вопросы приходят не всегда часто быстро. на консультации не всегда удаётся попасть, замечу проекты и задачи помогают закреплять.",ru,long,negative
3244,9,9,7,7,8,8,9,9,9,"жобалар мен стажировкалар тақырыптарды бекітеді, айтпақшы кеңес алу оңай.",kz,medium,positive
3245,10,10,9,7,7,7,6,8,8,"объясняют доходчиво, делятся опытом и лайфхаками. объясняют доходчиво, делятся опытом и лайфхаками, в целом проекты и задачи помогают закреплять!",ru,long,positive
3246,10,9,9,10,10,8,10,8,10,"кесте тұрақты, кері байланыс айқын, сонымен қатар мысалдар нақты жағдайлардан.",kz,medium,positive
3247,4,5,5,5,3,4,5,6,5,"презентации и теорию выдают регулярно. рабочая учебная рутина, было бы полезно усилить практику и разбор кейсов.",ru,long,neutral
3248,9,7,10,10,8,9,8,8,8,"преподаватели отзывчивые, отвечают вовремя., вдобавок (431)",ru,short,positive
3249,6,8,6,7,5,8,7,8,7,"без серьёзных замечаний, в целом проекты и задачи помогают закреплять, при этом (815)",ru,medium,neutral
3250,8,9,6,9,10,7,9,8,9,"материалы упорядочены, доступ через электронные системы удобный, жалпы материалдар ретке келтірілген, электронды қолжетімділік ыңғайлы!",mixed,medium,positive
3251,5,5,5,7,5,6,6,6,5,"практика бар, формат қалыпты., айта кетсек (244)",kz,short,neutral
3252,10,7,10,10,9,10,8,10,8,"расписание стабильное, сообщения ясная. расписание стабильное, информирование ясная, в итоге примеры привязаны к реальным процессам!",ru,long,positive
3253,6,7,6,7,9,8,5,8,7,"оборудование обычное, без особенностей, при этом консультации доступны по расписанию",ru,medium,neutral
3254,6,6,7,7,6,7,5,6,7,обратная связь в целом нормальная кроме.,ru,short,neutral
3255,10,10,10,10,10,10,10,9,8,"формат практики удобный, задачи разобраны ясно. стажировки и проекты помогают закреплять темы, как правило проекты и задачи помогают закреплять!",ru,long,positive
3256,8,7,9,7,7,9,9,8,8,"материалы упорядочены, доступ через электронные системы удобный, жалпы презентациялар мен мысалдар уақытында беріледі.",mixed,medium,positive
3257,5,5,3,5,8,5,7,5,5,"ерекше ескертулер жоқ, кейде жобалар пайдалы, жақсы болар еді практиканы және мысалдарды күшейту",kz,medium,neutral
3258,10,10,10,10,10,10,10,10,10,"жобалар мен стажировкалар тақырыптарды бекітеді, жалпы лабораторные по делу, инструкции доходчиво изложены!",mixed,medium,positive
3259,5,7,9,6,6,7,8,7,7,"жалпы қалыпты., жалпы алғанда (569)",kz,short,neutral
3260,6,7,7,8,10,8,9,7,8,"в целом курс мотивирует и втягивает, в целом консультации доступны по расписанию.",ru,medium,positive
3261,10,10,10,9,9,10,9,10,10,"методички структурированы, поиск по темам простой, вообще примеры привязаны к реальным процессам!",ru,medium,positive
3262,7,8,8,7,6,7,7,7,7,"жалпы қалыпты, соңында кеңес алу оңай, айта кетсек кеңес алу оңай…",kz,medium,neutral
3263,10,10,10,10,9,9,9,9,10,"кесте тұрақты, байланыс айқын, соңында мысалдар нақты жағдайлардан.",kz,medium,positive
3264,7,7,7,7,9,6,8,6,10,"рабочая учебная рутина, хотелось бы усилить практику и разбор кейсов, кроме того (878)",ru,medium,neutral
3265,10,10,9,9,10,10,10,10,10,"процессы выстроены, вопросов почти нет, айтпақшы хабарламалар дер уақытында, логистика түсінікті.",mixed,medium,positive
3266,7,8,10,9,8,7,8,8,8,"тәжірибесімен бөліседі, кеңес береді, жалпы алғанда кеңес алу оңай!",kz,medium,positive
3267,3,5,4,3,5,4,2,5,4,"без серьёзных замечаний…, кстати (107)",ru,short,neutral
3268,7,5,4,6,5,6,6,5,7,"в целом всё нормально…, замечу (771)",ru,short,neutral
3269,6,9,5,8,6,8,8,6,6,"сообщения в целом нормальная. сообщения в целом нормальная, как правило консультации доступны по расписанию, можно усилить усилить практику и разбор кейсов",ru,long,neutral
3270,9,10,10,10,10,10,10,10,9,"лабораторные по делу, инструкции понятно изложены, как правило консультации доступны по расписанию.",ru,medium,positive
3271,3,4,3,3,4,5,3,3,4,"нужно обновить подборок, примеры старые, кроме того примеры привязаны к реальным процессам.",ru,medium,negative
3272,3,4,2,2,2,1,2,3,2,"нужно обновление требуется подборок, примеры старые, в итоге консультации доступны по расписанию.",ru,medium,negative
3273,2,2,2,4,2,3,2,5,2,"материалдар кедей, жағдайлар аз, жалпы алғанда жобалар пайдалы.",kz,medium,negative
3274,7,9,7,5,8,8,5,7,7,"зертханалық жұмыстар кесте бойынша, айтпақшы жобалар пайдалы.",kz,medium,neutral
3275,9,7,10,10,10,9,8,9,10,"объясняют ясно, делятся опытом и лайфхаками, в итоге примеры привязаны к реальным процессам!",ru,medium,positive
3276,9,9,9,9,9,8,8,6,8,на практике даются ситуации связь с.,ru,short,positive
3277,6,8,7,9,8,9,7,6,8,"на практике даются задачи из практики, контекст рынка ощущается, жалпы жобалар мен стажировкалар тақырыптарды бекітеді.",mixed,medium,positive
3278,3,2,2,3,5,1,3,2,4,"кейсов мало, хотелось бы больше реальных ситуаций. кейсов мало, хотелось бы больше реальных ситуаций, в целом примеры привязаны к реальным процессам…",ru,long,negative
3279,6,4,5,3,5,4,4,5,4,"рабочая учебная рутина., в итоге (414)",ru,short,neutral
3280,9,7,9,9,8,10,7,9,7,"оқытушылар жедел жауап береді, түсіндіру түсінікті, кейде мысалдар нақты жағдайлардан.",kz,medium,positive
3281,1,1,2,2,2,1,1,1,1,"оборудование местами устарело для текущих задач, қоса құрал-жабдық жетіспейді, имеет смысл практика/жабдықтар бойынша күшейту…",mixed,long,negative
3282,9,8,9,10,10,10,9,10,10,"уведомления приходят оперативно, логистика понятная, в целом консультации доступны по расписанию!",ru,medium,positive
3283,10,10,10,8,10,10,10,10,10,"презентации и примеры даются вовремя, вообще консультации доступны по расписанию.",ru,medium,positive
3284,9,8,8,6,8,9,7,8,9,"оқу жайлы, әсері жақсы, қоса мысалдар нақты жағдайлардан.",kz,medium,positive
3285,6,6,7,7,6,8,7,6,7,"вопросы решаются рабочим порядком, вдобавок примеры привязаны к реальным процессам",ru,medium,neutral
3286,8,10,8,8,9,10,8,9,8,"объясняют доходчиво, делятся опытом и лайфхаками. объясняют логично, делятся опытом и лайфхаками, по факту консультации доступны по расписанию!",ru,long,positive
3287,10,9,10,9,10,8,8,8,10,"уведомления приходят оперативно, логистика понятная., кстати (170)",ru,short,positive
3288,9,10,8,9,9,9,9,9,8,"презентациялар мен мысалдар дер кезінде беріледі, кейде жобалар пайдалы.",kz,medium,positive
3289,9,10,9,10,10,10,10,10,9,"процессы выстроены, вопросов почти нет. программа выглядит современно, при этом проекты и задачи помогают закреплять.",ru,long,positive
3290,8,7,6,6,9,8,7,8,7,"без серьёзных замечаний. без серьёзных замечаний, вообще примеры привязаны к реальным процессам, имеет смысл усилить практику и разбор кейсов",ru,long,neutral
3291,10,8,7,7,7,5,8,9,8,"объясняют логично, делятся опытом и лайфхаками, в целом проекты и задачи помогают закреплять.",ru,medium,positive
3292,3,4,4,3,2,2,3,5,3,"на уведомления не всегда быстро реагируют. ожидания реализовались не полностью, кстати консультации доступны по расписанию…",ru,long,negative
3293,6,9,8,8,5,9,5,7,5,"материалы размещают в срок, иногда с задержками., в целом (677)",ru,medium,neutral
3294,8,10,8,10,10,8,8,9,10,"уведомления приходят оперативно, логистика понятная, вдобавок консультации доступны по расписанию!",ru,medium,positive
3295,9,10,9,9,7,10,9,8,10,"стажировки и проекты помогают закреплять темы, замечу консультации доступны по расписанию!",ru,medium,positive
3296,7,9,8,7,8,7,9,9,9,"чувствуется опыт и вовлеченность преподавателей, кстати консультации доступны по расписанию.",ru,medium,positive
3297,9,10,10,10,9,9,10,7,8,"поддерживают на консультациях, комментарии приходят вовремя, в целом примеры привязаны к реальным процессам!",ru,medium,positive
3298,4,2,3,4,4,5,3,2,4,"практика жетіспеушілік, нақты жағдайлар аз, дұрыс болар практиканы және мысалдарды күшейту…",kz,medium,negative
3299,4,3,4,5,4,4,6,2,4,"ерекше ескертулер жоқ, сонымен қатар жобалар пайдалы.",kz,medium,neutral
3300,8,9,10,9,9,10,10,7,9,"чувствуется опыт и вовлеченность преподавателей. учиться комфортно, впечатления положительные, было бы полезно усилить практику и разбор кейсов.",ru,long,positive
3301,9,10,10,10,10,8,8,6,9,"преподаватели отзывчивые, отвечают вовремя, было бы полезно усилить практику и разбор кейсов.",ru,medium,positive
3302,8,8,10,7,7,10,7,8,8,"уведомления приходят без задержек, логистика понятная, жалпы хабарламалар уақытында, логистика түсінікті, в целом жобалар/проекттер пайдалы.",mixed,long,positive
3303,7,8,10,10,10,10,9,10,10,"кеңестер уақтылы, қолдау бар, жалпы поддерживают на консультациях, комментарии приходят без задержек.",mixed,medium,positive
3304,10,9,10,7,9,8,8,10,10,"лабораторные по делу, инструкции ясно изложены. на практике даются кейсы, связь с отраслью ощущается, замечу примеры привязаны к реальным процессам!",ru,long,positive
3305,5,6,4,4,6,3,5,5,6,"жабдықтар орташа деңгейде. аудиториялар стандартты, қолжетімді, айта кетсек мысалдар нақты жағдайлардан, дұрыс болар практиканы және мысалдарды күшейту",kz,long,neutral
3306,1,1,3,1,1,3,1,1,2,"кейсов мало, хотелось бы больше реальных ситуаций. кейсов мало, хотелось бы больше реальных ситуаций, вдобавок проекты и задачи помогают закреплять…",ru,long,negative
3307,2,1,2,3,2,3,2,2,2,"кейсов мало, хотелось бы больше реальных ситуаций. мотивирует меньше, чем рассчитывал, было бы полезно усилить практику и разбор кейсов.",ru,long,negative
3308,7,9,7,8,7,7,6,6,6,"оқытушылардың тәсілдері әртүрлі, жалпы нақты, при этом по стилю преподаватели разные.",mixed,medium,neutral
3309,8,7,10,8,8,6,9,9,8,"учиться комфортно, впечатления положительные., вообще (160)",ru,short,positive
3310,10,10,9,10,9,10,10,9,9,"поддерживают на консультациях, комментарии приходят оперативно, кейде кеңестер уақтылы, қолдау бар.",mixed,medium,positive
3311,9,10,8,9,8,7,8,9,10,"оқытушылар жедел жауап береді, түсіндіру айқын, кейде жобалар пайдалы.",kz,medium,positive
3312,10,9,10,8,9,9,10,10,10,"стажировки и проекты помогают закреплять темы, кстати консультации доступны по расписанию.",ru,medium,positive
3313,10,9,9,10,10,10,10,8,9,"презентации и примеры даются оперативно, по факту примеры привязаны к реальным процессам.",ru,medium,positive
3314,9,10,9,8,10,10,8,8,7,"оқу жайлы, әсері жақсы, айта кетсек мысалдар нақты жағдайлардан!",kz,medium,positive
3315,6,9,10,10,7,9,7,8,9,"поддерживают на консультациях, комментарии приходят вовремя. в целом курс мотивирует и втягивает, кроме того проекты и задачи помогают закреплять.",ru,long,positive
3316,10,9,10,8,9,10,10,10,8,"практика ыңғайлы форматта, тапсырмалар түсінікті, жалпы стажировки и проекты помогают закреплять темы, айтпақшы жобалар/проекттер пайдалы!",mixed,long,positive
3317,7,8,7,6,7,9,6,8,8,"расписание стабильное, информирование ясная!, при этом (940)",ru,short,positive
3318,6,10,9,9,8,7,8,9,9,"чувствуется опыт и вовлеченность преподавателей. поддерживают на консультациях, комментарии приходят оперативно, можно усилить усилить практику и разбор кейсов.",ru,long,positive
3319,9,10,9,10,9,10,9,9,9,"оқытушылар жедел жауап береді, түсіндіру нақты, айта кетсек мысалдар нақты жағдайлардан.",kz,medium,positive
3320,7,8,4,8,8,8,8,8,6,"вопросы решаются рабочим порядком., кроме того (115)",ru,short,neutral
3321,4,4,5,5,5,6,5,8,7,"без серьёзных замечаний, вдобавок (715)",ru,short,neutral
3322,8,9,7,7,8,9,8,8,8,"зертханалар таза, құралдар жұмыс істейді, при этом аудитории оснащены, работать комфортно!",mixed,medium,positive
3323,9,10,9,9,9,9,10,10,10,"материалы упорядочены, доступ через электронные системы удобный. программа выглядит под текущие требования, при этом проекты и задачи помогают закреплять.",ru,long,positive
3324,8,9,10,10,9,7,10,10,9,"на практике даются примеры, прикладной фокус ощущается. программа выглядит современно, было бы полезно усилить практику и разбор кейсов!",ru,long,positive
3325,7,8,7,8,9,6,7,7,8,"кестеде өзгерістер болып тұрады. сұрақтар жұмыс тәртібімен шешіледі, дұрыс болар практиканы және мысалдарды күшейту, сонымен қатар жобалар пайдалы…",kz,long,neutral
3326,8,9,9,8,6,10,9,8,8,практика ыңғайлы форматта тапсырмалар түсінікті кейде!,mixed,short,positive
3327,10,9,7,10,9,7,8,9,8,"хабарламалар дер кезінде, логистика түсінікті, жалпы алғанда кеңес алу оңай.",kz,medium,positive
3328,10,9,9,10,8,9,10,7,9,"процессы выстроены, вопросов почти нет. программа выглядит современно, замечу консультации доступны по расписанию, при этом проекты и задачи помогают закреплять.",ru,long,positive
3329,3,4,3,4,4,2,3,2,3,"в расписании случаются накладки. переносы сообщаются поздно, при этом проекты и задачи помогают закреплять, вдобавок консультации доступны по расписанию.",ru,long,negative
3330,6,7,6,6,7,6,3,4,8,"ерекше ескертулер жоқ. жалпы қалыпты, күшейтсе жақсы практиканы және мысалдарды күшейту, қарастырған жөн практиканы және мысалдарды күшейту.",kz,long,neutral
3331,1,3,4,3,1,2,1,3,5,"практика аз, нақты жағдайлар аз, айта кетсек мысалдар нақты жағдайлардан.",kz,medium,negative
3332,6,9,10,8,10,7,8,9,9,"расписание стабильное, информирование ясная, имеет смысл усилить практику и разбор кейсов.",ru,medium,positive
3333,9,7,10,7,7,7,9,9,8,"презентациялар мен мысалдар дер уақытында беріледі, айта кетсек кеңес алу оңай!",kz,medium,positive
3334,10,10,9,9,10,10,8,9,10,"формат практики удобный, задачи разобраны структурно, по факту примеры привязаны к реальным процессам.",ru,medium,positive
3335,6,6,6,6,5,6,6,7,4,"ерекше ескертулер жоқ, соңында жобалар пайдалы, соңында кеңес алу оңай.",kz,medium,neutral
3336,10,10,10,10,10,9,10,10,10,"лабораторные по делу, инструкции структурно изложены, стоит подумать усилить практику и разбор кейсов.",ru,medium,positive
3337,9,10,9,10,10,10,9,10,10,"уведомления приходят без задержек, логистика понятная, при этом проекты и задачи помогают закреплять.",ru,medium,positive
3338,9,9,7,9,9,7,10,9,6,"методички структурированы, поиск по темам простой, қоса материалдар ретке келтірілген, электронды қолжетімділік ыңғайлы, в целом жобалар/проекттер пайдалы.",mixed,long,positive
3339,1,2,1,3,2,2,2,2,1,"ұйымдастыруда кідірістер кездеседі, жалпы алғанда жобалар пайдалы.",kz,medium,negative
3340,4,3,3,4,2,4,4,3,3,ұйымдастыруда кідірістер кездеседі айтпақшы в расписании.,mixed,short,negative
3341,4,7,6,5,7,7,7,5,7,"без серьёзных замечаний, кейде жалпы қалыпты, дұрыс болар практика/жабдықтар бойынша күшейту",mixed,medium,neutral
3342,3,1,1,2,1,1,1,1,3,"кестеде сәйкессіздік болады, хабар кешігеді, жалпы алғанда мысалдар нақты жағдайлардан…",kz,medium,negative
3343,10,10,10,9,10,10,9,9,10,"преподаватели отзывчивые, отвечают оперативно, вдобавок примеры привязаны к реальным процессам!",ru,medium,positive
3344,8,7,8,7,10,7,7,6,8,"кестеде өзгерістер болып тұрады. кестеде өзгерістер болып тұрады, айта кетсек жобалар пайдалы, жалпы алғанда кеңес алу оңай…",kz,long,neutral
3345,1,1,1,1,4,2,3,1,2,"инструмента не хватает в лабораториях…, кстати (595)",ru,short,negative
3346,6,8,8,9,9,8,8,8,9,"объясняют понятно, делятся опытом и лайфхаками, замечу консультации доступны по расписанию!",ru,medium,positive
3347,7,7,7,8,8,9,9,10,8,"лабораторные по делу, инструкции понятно изложены, стоит подумать усилить практику и разбор кейсов!",ru,medium,positive
3348,5,2,3,2,4,1,4,4,4,"недостаточно практики и разбора задач, можно усилить усилить практику и разбор кейсов.",ru,medium,negative
3349,8,8,7,8,9,9,10,10,9,"оборудование справное, лаборатории чистые, қоса аудиториялар жабдықталған, жұмыс істеу ыңғайлы!",mixed,medium,positive
3350,9,10,8,10,9,7,9,10,10,"формат практики удобный, задачи разобраны доходчиво. формат практики удобный, задачи разобраны логично, при этом примеры привязаны к реальным процессам.",ru,long,positive
3351,8,8,9,9,9,9,7,9,8,практика ыңғайлы форматта тапсырмалар нақты сонымен.,kz,short,positive
3352,5,3,5,2,6,6,6,5,4,ерекше ескертулер жоқ при этом рабочая…,mixed,short,neutral
3353,7,8,7,6,8,6,10,8,7,"методички структурированы, поиск по темам простой, имеет смысл усилить практику и разбор кейсов.",ru,medium,positive
3354,9,8,10,10,9,9,7,9,9,"преподаватели отзывчивые, отвечают вовремя, вообще проекты и задачи помогают закреплять.",ru,medium,positive
3355,6,4,3,5,6,6,8,6,4,"материалдар уақытында жүктеледі, кейде кешігеді, күшейтсе жақсы практиканы және мысалдарды күшейту.",kz,medium,neutral
3356,4,7,5,7,6,6,5,5,5,"без серьёзных замечаний, по факту консультации доступны по расписанию…, кроме того (256)",ru,medium,neutral
3357,10,8,8,8,9,9,6,10,10,"аудиториялар жабдықталған, жұмыс істеу ыңғайлы, жалпы алғанда жобалар пайдалы!",kz,medium,positive
