row_idx,x,y,language,detail_level,sentiment_class,detail_level_659d21b9_pred,detail_level_a6312ca1_pred,sentiment_4fba3d0b_pred,sentiment_ba797532_pred,language_ef21cec4_pred,language_7f943949_pred
1404,-0.21929585066384288,0.07792245060885246,ru,long,negative,long,long,negative,negative,ru,ru
1405,0.23134322248233033,0.011258670472247803,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1406,-0.09453566332834905,-0.05840639576314767,ru,medium,positive,medium,medium,positive,positive,ru,ru
1407,-0.26813421077432437,0.3218179727812336,ru,long,positive,long,long,positive,positive,ru,ru
1408,0.25152294323543783,0.017116614481634443,kz,medium,negative,medium,medium,negative,negative,kz,kz
1409,-0.16364319397770563,-0.025491488555218534,ru,medium,positive,medium,medium,positive,positive,ru,ru
1410,-0.09615723504031941,-0.1120006074778609,ru,medium,positive,medium,medium,positive,positive,ru,ru
1411,-0.03799196904193708,0.004574470596655298,ru,short,neutral,short,short,neutral,neutral,ru,ru
1412,-0.10233915838426218,-0.08689353909270127,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1413,0.18196546000366687,0.015297161464090915,kz,short,positive,short,short,positive,positive,kz,kz
1414,0.45328370896054354,0.009082532845847473,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1415,0.41778955616853297,0.01838387736167396,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1416,0.35497981852661736,0.03142154941379821,kz,medium,positive,medium,medium,positive,positive,kz,kz
1417,0.33145667701496645,0.02528578182283697,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1418,-0.03292679677854171,-0.12583582329585588,ru,short,positive,short,short,positive,positive,ru,ru
1419,-0.13135347300640074,-0.0964223143465432,ru,medium,positive,medium,medium,positive,positive,ru,ru
1420,-0.11526856757529705,-0.10375404134160973,ru,medium,positive,medium,medium,positive,positive,ru,ru
1421,-0.11717425917610408,-0.15171335555570015,ru,medium,positive,medium,medium,positive,positive,ru,ru
1422,0.0688281073951613,0.02058508311443345,mixed,medium,neutral,medium,short,neutral,neutral,mixed,mixed
1423,0.03420950935496817,0.24224451454084503,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
1424,-0.2179343652549336,-0.05033196933386491,ru,medium,positive,medium,medium,positive,positive,ru,ru
1425,-0.2272036547564398,-0.08817053106845162,ru,long,positive,long,long,positive,positive,ru,ru
1426,-0.1346206368270436,-0.0553836699179056,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1427,0.045860660933997315,0.0015662678315325551,mixed,medium,positive,long,short,positive,positive,mixed,mixed
1428,-0.2018444518313695,0.2536603597516173,ru,long,positive,long,long,positive,positive,ru,ru
1429,0.1321639173134012,-0.005894472429179114,kz,short,positive,short,short,positive,positive,kz,kz
1430,0.1720475769098224,-0.019083192890094487,mixed,long,negative,long,long,negative,negative,mixed,mixed
1431,-0.1000833853179909,-0.12004317921637145,ru,long,neutral,long,long,neutral,neutral,ru,ru
1432,-0.16644062285078748,0.3548800353230266,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1433,-0.16843647935254297,-0.19784032265935825,ru,long,positive,medium,long,positive,positive,ru,ru
1434,0.1211038724878143,0.02732948964494618,kz,short,neutral,short,short,neutral,neutral,kz,kz
1435,-0.1674501467602723,-0.01584473500520377,ru,medium,positive,medium,medium,positive,positive,ru,ru
1436,0.050078181861267335,-0.006509021245212447,mixed,medium,neutral,medium,short,neutral,neutral,mixed,mixed
1437,0.31420873785650444,0.00714382687290645,kz,long,positive,long,long,positive,positive,kz,kz
1438,-0.07124305528336441,-0.04627774382805125,ru,medium,positive,medium,medium,positive,positive,ru,ru
1439,-0.16735269274349845,0.27093779511427524,ru,medium,positive,medium,medium,positive,positive,ru,ru
1440,-0.18621577098258596,0.02785935338986393,ru,long,positive,long,long,positive,positive,ru,ru
1441,0.2302570373513766,0.008361235130510035,kz,medium,negative,medium,medium,negative,negative,kz,kz
1442,0.27677378447830486,0.10176367771561032,kz,short,positive,short,medium,positive,positive,kz,kz
1443,-0.0828280132933326,-0.042751715884735704,ru,medium,negative,medium,medium,negative,negative,ru,ru
1444,-0.25799858072685844,-0.17147509556101462,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1445,0.2498882641891331,0.016574332945965844,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1446,0.07275071799069309,-0.02441641240275494,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
1447,0.2196263271462885,0.015961427675221292,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
1448,0.3530420355522626,-0.01054235630045988,kz,long,neutral,long,long,neutral,neutral,kz,kz
1449,0.3081503486295405,0.015170039903398082,kz,medium,positive,medium,medium,positive,positive,kz,kz
1450,-0.1295617823024882,-0.07430687361885488,ru,medium,positive,medium,medium,positive,positive,ru,ru
1451,0.36433706065032634,0.02601490449700912,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1452,0.0563787711877347,-0.02440149397694644,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
1453,-0.07113269497834981,-0.09511117062979216,ru,long,positive,long,long,positive,positive,ru,ru
1454,0.07824706531671319,-0.06033912507125164,mixed,medium,neutral,short,short,neutral,neutral,mixed,mixed
1455,0.1300241475982167,0.03865751438170111,mixed,long,positive,long,long,positive,positive,mixed,mixed
1456,-0.1751268213178214,-0.18489496124024438,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1457,-0.12004478158424091,0.15602541146920984,ru,short,positive,short,short,positive,positive,ru,mixed
1458,0.3781769626284321,0.022920989309930723,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1459,-0.048367750917985244,-0.01566672823439343,ru,short,neutral,short,short,neutral,neutral,ru,ru
1460,-0.15889784582735156,-0.24109153604872896,ru,medium,positive,medium,long,positive,positive,ru,ru
1461,0.025567490507729204,0.16574102292358167,mixed,medium,neutral,medium,medium,neutral,neutral,mixed,mixed
1462,0.17870250226888182,-0.07738562085454562,mixed,long,positive,long,long,positive,positive,mixed,mixed
1463,0.03561540475632549,-0.030130843938284836,mixed,medium,negative,medium,medium,negative,negative,mixed,mixed
1464,-0.06994893680511409,-0.049981601180385575,ru,medium,positive,medium,long,positive,positive,ru,ru
1465,0.2554702943041578,-0.007190572395900962,kz,medium,negative,medium,medium,negative,negative,kz,kz
1466,-0.13543765183810005,-0.18018355593519095,ru,long,positive,long,long,positive,positive,ru,ru
1467,-0.14360140858722711,-0.20924224134139416,ru,long,positive,long,long,positive,positive,ru,ru
1468,0.1785591328129061,0.007190348711833095,kz,medium,negative,medium,medium,negative,negative,kz,kz
1469,-0.17912935544775263,0.3481747036808603,ru,medium,positive,medium,medium,positive,positive,ru,ru
1470,0.24015159164659744,-0.010558809133989667,kz,medium,positive,medium,medium,positive,positive,kz,kz
1471,0.08622279996843724,-0.022101757105639202,mixed,medium,positive,long,medium,positive,positive,mixed,mixed
1472,0.17440786068238656,-0.037217452766068464,mixed,short,positive,short,short,positive,positive,mixed,mixed
1473,0.07043656615666623,0.19677016197875238,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
1474,0.07811473036339343,-0.008756323719458196,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
1475,-0.2403142887300539,-0.30332633510416823,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1476,-0.25163260141937716,0.45001963341146944,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1477,0.27063812974203233,-0.006498227517348365,kz,medium,positive,medium,medium,positive,positive,kz,kz
1478,0.049039302234126045,-0.044358926066241054,mixed,medium,negative,medium,medium,negative,negative,mixed,mixed
1479,-0.12987627068751648,-0.09804947636363455,ru,medium,positive,medium,medium,positive,positive,ru,ru
1480,-0.23737678955006197,-0.27019483958088225,ru,long,neutral,long,medium,neutral,neutral,ru,ru
1481,-0.14486141206247133,0.21339780270890246,ru,long,positive,long,long,positive,positive,ru,ru
1482,-0.08624484455106161,0.08965947110711234,mixed,short,positive,short,short,positive,positive,mixed,mixed
1483,-0.2220580021955044,0.3673321039972494,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1484,0.3991966719135285,0.0170546970318296,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1485,-0.13614122480723392,-0.08488606207592662,ru,long,positive,long,long,positive,positive,ru,ru
1486,0.23080489571735419,-0.012269092123634194,kz,medium,positive,medium,medium,positive,positive,kz,kz
1487,-0.08839771002553166,-0.08218979133386686,ru,medium,negative,medium,medium,negative,negative,ru,ru
1488,-0.1740609022589081,-0.2907198247770822,ru,medium,positive,medium,medium,positive,positive,ru,ru
1489,-0.12078152781170773,-0.17270514669406897,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1490,-0.17568779526543926,0.2829219078594716,ru,medium,positive,medium,medium,positive,positive,ru,ru
1491,0.14669961990326094,-0.026044377850177897,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
1492,0.10598291337882174,-0.027347711653606426,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
1493,0.08041562586762538,-0.021627520846772767,mixed,short,neutral,short,medium,neutral,neutral,mixed,mixed
1494,-0.18202946070161674,-0.19002254508731145,ru,medium,positive,medium,medium,positive,positive,ru,ru
1495,-0.11515850613392893,-0.16198113513964024,ru,long,positive,medium,medium,positive,positive,ru,ru
1496,-0.17812431409818494,-0.23678747151956558,ru,medium,positive,medium,medium,positive,positive,ru,ru
1497,-0.19187213073080778,0.36742067284544966,ru,medium,positive,medium,medium,positive,positive,ru,ru
1498,-0.1039717804814528,0.1955093427812177,ru,long,neutral,medium,medium,neutral,neutral,ru,ru
1499,0.13593356634848008,-0.06802053787051747,kz,short,neutral,short,short,neutral,neutral,kz,kz
1500,0.37441302201063004,0.011957906093101697,kz,long,positive,long,long,positive,positive,kz,kz
1501,-0.032910858581668846,0.009296163833204467,ru,short,positive,short,short,positive,positive,ru,ru
1502,0.22752005504171,-0.0583567512056934,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
1503,-0.2527693439658863,-0.06991685082961664,ru,medium,positive,medium,medium,positive,positive,ru,ru
1504,0.27054744986084095,-0.013935605312298672,kz,medium,positive,medium,medium,positive,positive,kz,kz
1505,-0.0748940262545476,-0.0586449649883489,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1506,0.06649982612254471,-0.03563470516397084,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
1507,-0.04876503778827536,-0.14217130206635822,ru,short,negative,short,short,negative,negative,ru,ru
1508,-0.1569090085690678,-0.2393548895987311,ru,long,positive,long,long,positive,positive,ru,ru
1509,0.4387208234001432,0.1017316141841478,kz,long,positive,long,long,positive,positive,kz,kz
1510,-0.25270220614943073,0.4567505403403789,ru,medium,positive,medium,medium,positive,positive,ru,ru
1511,-0.12473340219485012,-0.15661678767117412,ru,medium,positive,medium,medium,positive,positive,ru,ru
1512,-0.11960790407282511,-0.035537851552901595,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1513,-0.16685805887134644,0.23545332260842008,ru,long,positive,long,long,positive,positive,ru,ru
1514,0.16740081710332788,0.025856606401236305,kz,short,positive,short,short,positive,positive,kz,kz
1515,0.31420168608198157,0.009848538747184245,kz,long,positive,long,long,positive,positive,kz,kz
1516,0.2710068757420773,0.02280430241710172,kz,medium,positive,medium,medium,positive,positive,kz,kz
1517,0.3505602436634331,0.007819431422843219,kz,medium,positive,medium,medium,positive,positive,kz,kz
1518,-0.24124270444581858,0.28246232818030215,ru,long,positive,long,long,positive,positive,ru,ru
1519,-0.1478092678361848,-0.16876559308218417,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1520,0.2487606870378653,0.03136731519361712,kz,medium,positive,medium,medium,positive,positive,kz,kz
1521,0.13662788187813493,0.00938318994236629,mixed,long,positive,long,long,positive,positive,mixed,mixed
1522,-0.2299664842391922,-0.293588223403342,ru,long,neutral,long,long,neutral,neutral,ru,ru
1523,-0.04714226097939934,-0.017713686222263034,ru,short,neutral,short,short,neutral,neutral,ru,mixed
1524,-0.051489474764970074,0.01328894001593758,ru,short,positive,short,short,positive,positive,ru,ru
1525,-0.16489042092371567,-0.2953670676250965,ru,medium,positive,medium,medium,positive,positive,ru,ru
1526,0.33603349581987985,0.01723759171520903,kz,medium,positive,medium,medium,positive,positive,kz,kz
1527,0.27501161083262965,-0.03562455647799365,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1528,-0.17300332332435028,-0.09968430746634012,ru,medium,positive,medium,medium,positive,positive,ru,ru
1529,-0.11449979229575007,-0.19247703068909006,ru,medium,positive,medium,medium,positive,positive,ru,ru
1530,-0.1644761960654885,-0.14507204130564377,ru,long,neutral,long,long,neutral,neutral,ru,ru
1531,-0.2187581853520562,-0.14325270526609135,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1532,-0.06158238455784523,-0.09464303966647529,ru,short,positive,short,short,positive,positive,ru,ru
1533,-0.10175284970403974,-0.14269938287890419,ru,medium,positive,medium,long,positive,positive,ru,ru
1534,0.23013093460022618,0.0030802800308620307,kz,medium,negative,medium,medium,negative,negative,kz,kz
1535,-0.0755965406540553,-0.07724747384563302,ru,long,negative,long,long,negative,negative,ru,ru
1536,-0.008320758651301611,0.12452353893981828,mixed,medium,neutral,medium,medium,neutral,neutral,mixed,mixed
1537,0.03965945588353115,-0.029199919091155657,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
1538,-0.2430375151851925,-0.13175110050790806,ru,medium,positive,medium,medium,positive,positive,ru,ru
1539,-0.10254031990133057,-0.015533077147113734,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1540,-0.1450197224759718,-0.07809748051878472,ru,long,neutral,long,long,neutral,neutral,ru,ru
1541,-0.0767678266044629,-0.05066989809823356,ru,long,positive,long,long,positive,positive,ru,ru
1542,0.43499882338755014,0.023040669137858804,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1543,0.3031629624574123,-0.014072970220140594,kz,medium,positive,medium,medium,positive,positive,kz,kz
1544,0.36706730566294427,0.010015564265080597,kz,medium,positive,medium,medium,positive,positive,kz,kz
1545,0.47514692530770175,0.018744461375922478,kz,long,neutral,long,long,neutral,neutral,kz,kz
1546,0.022413526090471893,0.03550255398832593,mixed,medium,neutral,short,short,neutral,neutral,mixed,mixed
1547,0.056324844900458,0.06229245481304551,mixed,medium,neutral,medium,short,neutral,neutral,mixed,mixed
1548,0.41048296080869023,0.0866392579808702,kz,medium,positive,medium,medium,positive,positive,kz,kz
1549,0.17269999241956277,-0.01398421726325271,mixed,short,positive,short,short,positive,positive,mixed,mixed
1550,-0.07955904664753365,-0.050090700139752725,ru,long,positive,long,long,positive,positive,ru,ru
1551,0.39120739419050765,0.03578782111101027,kz,medium,positive,medium,medium,positive,positive,kz,kz
1552,-0.22929648620110996,-0.23369658272715663,ru,long,neutral,long,long,neutral,neutral,ru,ru
1553,-0.12328552732618049,-0.16195529896686472,ru,medium,positive,medium,medium,positive,positive,ru,ru
1554,-0.1944950098894797,0.28534511729873363,ru,medium,positive,medium,medium,positive,positive,ru,ru
1555,0.18125263883739193,0.02633422279660176,kz,short,positive,short,short,positive,positive,kz,kz
1556,0.2233052856357742,0.010255565814613815,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1557,-0.14036987362955478,-0.02555486299192206,ru,medium,positive,medium,medium,positive,positive,ru,ru
1558,0.35601490186910256,0.0038900479252950444,kz,medium,neutral,medium,long,neutral,neutral,kz,kz
1559,-0.09397871976711802,0.11281321318384459,mixed,short,neutral,short,short,neutral,neutral,mixed,mixed
1560,-0.17363494773304913,0.32388126740584555,ru,medium,positive,medium,medium,positive,positive,ru,ru
1561,0.34707236685746984,0.02280913793350212,kz,long,neutral,long,long,neutral,neutral,kz,kz
1562,0.09275071590016352,0.07960531219090279,mixed,long,positive,long,long,positive,positive,mixed,mixed
1563,0.45836519966036177,0.008792341272142725,kz,long,neutral,long,long,neutral,neutral,kz,kz
1564,0.34206531558478864,0.006964610528570819,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1565,0.14209049556079406,0.05232349069655959,mixed,long,positive,long,medium,positive,positive,mixed,mixed
1566,0.2871372737097617,0.012875886793949928,kz,medium,positive,medium,medium,positive,positive,kz,kz
1567,0.1383764377730639,0.06325583370759162,mixed,long,positive,long,long,positive,positive,mixed,mixed
1568,0.31370105107734086,0.0005462044766527065,kz,medium,positive,medium,medium,positive,positive,kz,kz
1569,0.16816600417754557,0.0460033323206305,kz,short,positive,short,short,positive,positive,kz,mixed
1570,0.25390153927320586,-0.012254230288387687,kz,medium,positive,medium,medium,positive,positive,kz,kz
1571,-0.2378359420954224,0.16722032365052875,ru,medium,positive,medium,medium,positive,positive,ru,ru
1572,0.4857424088233761,0.03239932158170048,kz,long,neutral,long,long,neutral,neutral,kz,kz
1573,0.3989692068077167,0.017307809501891473,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1574,-0.0690186251086891,-0.0828406212780485,ru,long,neutral,long,long,neutral,neutral,ru,ru
1575,0.27648326239961246,0.01644964676987284,kz,long,negative,long,long,negative,negative,kz,kz
1576,0.26924130556226133,0.035003383127002886,kz,medium,positive,medium,medium,positive,positive,kz,kz
1577,-0.03412651949036122,-0.029603197235276716,ru,short,positive,short,short,positive,positive,ru,ru
1578,0.09373278624983727,-0.022140965468235504,mixed,medium,positive,long,short,positive,positive,mixed,mixed
1579,0.18499250529446706,-0.013544681344413207,kz,short,positive,short,short,positive,positive,kz,kz
1580,-0.13096659947516323,-0.12228724974257649,ru,medium,positive,medium,medium,positive,positive,ru,ru
1581,-0.1283603062971562,-0.01533714689393752,ru,medium,positive,medium,medium,positive,positive,ru,ru
1582,0.25249534832217346,0.008103639811846784,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1583,-0.012708728262608387,-0.08397991708096203,ru,medium,positive,medium,short,positive,positive,ru,ru
1584,-0.08579683897922188,-0.046163809101299046,ru,medium,positive,medium,medium,positive,positive,ru,ru
1585,0.3437089186809686,0.020677144845972703,kz,long,positive,long,long,positive,positive,kz,kz
1586,-0.10547046966277016,-0.04222186919431485,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1587,-0.26147522358782427,0.4570126454907725,ru,medium,positive,medium,medium,positive,positive,ru,ru
1588,-0.17071989257056439,0.04857518559296086,ru,long,neutral,long,long,neutral,neutral,ru,ru
1589,0.31814679853004524,-0.006911900928006282,kz,medium,negative,medium,medium,negative,negative,kz,kz
1590,-0.20404708926387385,-0.060978185741044424,ru,long,neutral,medium,medium,neutral,neutral,ru,ru
1591,-0.03520333579767218,0.23683756797937386,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
1592,0.07173548179542481,-0.05666508251886028,mixed,short,neutral,short,short,neutral,neutral,mixed,mixed
1593,-0.09804693023407063,0.15782635210533683,ru,short,positive,short,short,positive,positive,ru,ru
1594,-0.16776383951940885,-0.18688978741926357,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1595,-0.08361458471730737,-0.15607921483554124,ru,long,negative,long,long,negative,negative,ru,ru
1596,-0.26648055056451964,-0.055547219585715644,ru,medium,positive,medium,medium,positive,positive,ru,ru
1597,-0.1453126046708559,-0.060511188561818946,ru,long,positive,long,long,positive,positive,ru,ru
1598,-0.17014720448801507,-0.29208199188967665,ru,medium,positive,medium,medium,positive,positive,ru,ru
1599,-0.15640430416106546,-0.28091190688552076,ru,medium,positive,medium,medium,positive,positive,ru,ru
1600,-0.11966379327421556,-0.14100766858699046,ru,long,positive,long,long,positive,positive,ru,ru
1601,-0.07848894943931727,-0.15807381788840258,ru,medium,negative,medium,medium,negative,negative,ru,ru
1602,0.35295009507733693,-0.008168654367823502,kz,long,neutral,long,long,neutral,neutral,kz,kz
1603,-0.03705413806543405,-0.10567816078015671,ru,short,positive,short,short,positive,positive,ru,ru
1604,0.4050214031013479,0.006296660617378688,kz,long,neutral,long,long,neutral,neutral,kz,kz
1605,0.26182556563670256,-0.00828428431690923,kz,medium,positive,medium,medium,positive,positive,kz,kz
1606,-0.1522707331931222,0.2130078215308193,ru,long,negative,long,long,negative,negative,ru,ru
1607,-0.17019611908155732,-0.2361104793994784,ru,long,positive,long,long,positive,positive,ru,ru
1608,0.3405765681068588,0.022154527493198375,kz,medium,positive,medium,medium,positive,positive,kz,kz
1609,0.06588377398098828,0.04159276060031124,mixed,medium,neutral,medium,short,neutral,neutral,mixed,mixed
1610,-0.25005764757517135,0.22918279314656675,ru,long,neutral,long,long,neutral,neutral,ru,ru
1611,-0.16558085657668217,-0.22999878403750196,ru,medium,positive,medium,long,positive,positive,ru,ru
1612,0.2836179443730722,-0.00876670573484259,kz,medium,negative,medium,medium,negative,negative,kz,kz
1613,0.18729670905177864,0.006408117768094589,kz,short,positive,short,short,positive,positive,kz,kz
1614,-0.10020580882394435,0.09877980974788923,ru,short,neutral,short,short,neutral,neutral,ru,ru
1615,0.3651797280417538,0.018505806983824664,kz,long,neutral,long,long,neutral,neutral,kz,kz
1616,-0.18179896360947775,0.1894212766113062,ru,long,positive,long,long,positive,positive,ru,ru
1617,-0.05504624444652907,-0.054396225456553406,ru,long,positive,long,long,positive,positive,ru,ru
1618,0.0627253730196038,-0.013449663963242918,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
1619,-0.17534310533960865,-0.2582701998677544,ru,long,positive,long,medium,positive,positive,ru,ru
1620,0.45046787356316526,0.032623286564570364,kz,long,neutral,long,long,neutral,neutral,kz,kz
1621,0.10417277681709225,-0.002401058181026807,mixed,short,neutral,short,short,neutral,neutral,mixed,mixed
1622,-0.12945753099517085,-0.20088713377070558,ru,medium,positive,medium,medium,positive,positive,ru,ru
1623,0.002231001572734017,-0.025197660244516366,ru,short,negative,short,short,negative,negative,ru,ru
1624,-0.03724909567016464,-0.045466183258730704,ru,short,positive,short,short,positive,positive,ru,ru
1625,0.3312975904449876,0.04670647495319853,kz,medium,positive,medium,medium,positive,positive,kz,kz
1626,-0.1552473419442002,0.31836219944657423,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1627,-0.12163742954384188,-0.0852051153620984,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1628,-0.22819215677216825,0.4572321214804272,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1629,0.39734763971747883,0.017073171088398106,kz,long,positive,long,long,positive,positive,kz,kz
1630,-0.10987977344679473,-0.08480200999507055,ru,long,positive,long,long,positive,positive,ru,ru
1631,-0.2415099431821636,0.4193220989729998,ru,long,neutral,long,long,neutral,neutral,ru,ru
1632,-0.2376376693639849,-0.1934715901088608,ru,long,neutral,long,long,neutral,neutral,ru,ru
1633,-0.13404481699084483,-0.08090366432301055,ru,medium,positive,medium,medium,positive,positive,ru,ru
1634,-0.03080968283570834,0.018248940074298708,ru,short,neutral,short,short,neutral,neutral,ru,ru
1635,-0.24256096787755957,0.4228761859136088,ru,medium,positive,medium,medium,positive,positive,ru,ru
1636,-0.14705994495896055,0.05223553411428538,ru,medium,positive,medium,medium,positive,positive,ru,ru
1637,0.3374425579551381,0.022162736374117118,kz,long,negative,long,long,negative,negative,kz,kz
1638,-0.14299522298217146,-0.1996072553972273,ru,long,positive,long,long,positive,positive,ru,ru
1639,-0.03356331717321646,-0.03490011494895246,ru,short,positive,short,short,positive,positive,ru,ru
1640,-0.16902778582363673,-0.10045820212417639,ru,medium,positive,medium,medium,positive,positive,ru,ru
1641,-0.13940015214942383,-0.03551695089096584,ru,long,positive,long,long,positive,positive,ru,ru
1642,-0.14310614544737577,-0.21093748120555011,ru,medium,positive,medium,medium,positive,positive,ru,ru
1643,-0.06898490018015557,-0.07101645644273626,ru,short,positive,short,short,positive,positive,ru,ru
1644,-0.23496920988468756,-0.2627890970651136,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1645,0.15359619623721182,-0.0017591048439504428,mixed,short,positive,short,short,positive,positive,mixed,mixed
1646,-0.18281547938648607,0.3377352754485681,ru,medium,positive,medium,medium,positive,positive,ru,ru
1647,0.159163125388875,-0.01880065148197295,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
1648,-0.07909500016318291,-0.10996794654566207,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1649,0.1655154389872943,-0.006258595057673217,mixed,short,positive,short,short,positive,positive,mixed,mixed
1650,-0.16920391948148533,-0.023349208487261394,ru,medium,positive,medium,medium,positive,positive,ru,ru
1651,0.23903076887445798,-0.010764981034899437,kz,medium,positive,medium,medium,positive,positive,kz,kz
1652,-0.20321932338501242,0.32739172707629477,ru,medium,negative,medium,medium,negative,negative,ru,ru
1653,-0.16304215309601008,-0.21642884202342588,ru,medium,positive,medium,medium,positive,positive,ru,ru
1654,0.3212101655816749,-0.0010097909929989097,kz,long,neutral,long,long,neutral,neutral,kz,kz
1655,-0.18863393531224923,-0.2601414411915329,ru,medium,positive,medium,medium,positive,positive,ru,ru
1656,-0.21653747120189798,0.43330477320636,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1657,0.2660264174003566,0.04681997724232042,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
1658,-0.0895069444015378,-0.15081214443563015,ru,long,positive,long,long,positive,positive,ru,ru
1659,-0.16092304963258483,0.2950770100885905,ru,medium,negative,medium,medium,negative,negative,ru,ru
1660,-0.12571671096401704,-0.11872761048994658,ru,medium,positive,medium,medium,positive,positive,ru,ru
1661,0.024382597126502654,-0.16165463503384667,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
1662,-0.10255556611662195,-0.1248486124444703,ru,long,positive,long,long,positive,positive,ru,ru
1663,0.027431370754700632,0.1599422307882148,mixed,medium,positive,long,medium,positive,positive,mixed,mixed
1664,-0.03331954756597022,0.015083524864668376,ru,short,neutral,short,short,neutral,neutral,ru,ru
1665,0.46574094473691735,0.028853954122086457,kz,long,positive,long,long,positive,positive,kz,kz
1666,-0.2498064370465106,0.514546635894623,ru,medium,positive,medium,medium,positive,positive,ru,ru
1667,0.2813205686240967,0.02565724081128935,kz,long,negative,long,long,negative,negative,kz,kz
1668,-0.27101977661526117,0.11693731767606767,ru,long,neutral,long,long,neutral,neutral,ru,ru
1669,-0.2483521091750277,0.4335027302723247,ru,long,neutral,long,long,neutral,neutral,ru,ru
1670,-0.1727461690522314,0.09467313180301405,ru,medium,positive,medium,medium,positive,positive,ru,ru
1671,-0.023113830177960298,-0.0366967814427624,ru,short,negative,short,short,negative,negative,ru,ru
1672,-0.21105327563166953,-0.27101125985654617,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1673,-0.15783893162125356,-0.017969284423816217,ru,long,positive,long,long,positive,positive,ru,ru
1674,-0.14465501733350392,0.06459154593337742,ru,long,positive,long,long,positive,positive,ru,ru
1675,-0.06959905030144202,-0.09299548142415867,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
1676,-0.13340730039661672,-0.10130615458635023,ru,medium,positive,medium,medium,positive,positive,ru,ru
1677,-0.15787639109501903,-0.1840591167587172,ru,long,positive,long,long,positive,positive,ru,ru
1678,-0.06004679714447786,-0.0021283099207572735,ru,short,neutral,short,short,neutral,neutral,ru,ru
1679,-0.23442661074571366,0.32313374426819425,ru,long,positive,long,long,positive,positive,ru,ru
1680,-0.08453439631074779,0.08639588224228335,ru,short,neutral,short,short,neutral,neutral,ru,mixed
1681,-0.16173920536972156,-0.104222170486673,ru,long,positive,long,long,positive,positive,ru,ru
1682,0.32506508856481214,0.029083567792944652,kz,medium,neutral,medium,medium,positive,neutral,kz,kz
1683,-0.010592969255360435,-0.05826237889742189,ru,short,positive,short,short,positive,positive,ru,ru
1684,0.13831257103188466,-0.009612653393877416,kz,short,negative,short,short,negative,negative,kz,kz
1685,-0.17013293965225354,-0.2599855555316194,ru,long,neutral,long,long,neutral,neutral,ru,ru
